Leaf Size,In Sample RMSE,Out of Sample RMSE
823,0.011770075,0.008258633
824,0.011770075,0.008258633
825,0.011770075,0.008258633
826,0.011770075,0.008258633
827,0.011770075,0.008258633
828,0.011770075,0.008258633
829,0.011770075,0.008258633
830,0.011770075,0.008258633
831,0.011770075,0.008258633
832,0.011770075,0.008258633
833,0.011770075,0.008258633
834,0.011770075,0.008258633
835,0.011770075,0.008258633
836,0.011770075,0.008258633
837,0.011770075,0.008258633
838,0.011770075,0.008258633
839,0.011770075,0.008258633
840,0.011770075,0.008258633
841,0.011770075,0.008258633
842,0.011770075,0.008258633
843,0.011770075,0.008258633
844,0.011770075,0.008258633
845,0.011770075,0.008258633
846,0.011770075,0.008258633
847,0.011770075,0.008258633
848,0.011770075,0.008258633
849,0.011770075,0.008258633
850,0.011770075,0.008258633
851,0.011770075,0.008258633
852,0.011770075,0.008258633
853,0.011770075,0.008258633
854,0.011770075,0.008258633
855,0.011770075,0.008258633
856,0.011770075,0.008258633
857,0.011770075,0.008258633
858,0.011770075,0.008258633
859,0.011770075,0.008258633
860,0.011770075,0.008258633
861,0.011770075,0.008258633
862,0.011770075,0.008258633
863,0.011770075,0.008258633
864,0.011770075,0.008258633
865,0.011770075,0.008258633
866,0.011770075,0.008258633
867,0.011770075,0.008258633
868,0.011770075,0.008258633
869,0.011770075,0.008258633
870,0.011770075,0.008258633
871,0.011770075,0.008258633
872,0.011770075,0.008258633
873,0.011770075,0.008258633
874,0.011770075,0.008258633
875,0.011770075,0.008258633
876,0.011770075,0.008258633
877,0.011770075,0.008258633
878,0.011770075,0.008258633
879,0.011770075,0.008258633
880,0.011770075,0.008258633
881,0.011770075,0.008258633
882,0.011770075,0.008258633
883,0.011770075,0.008258633
884,0.011770075,0.008258633
885,0.011770075,0.008258633
886,0.011770075,0.008258633
887,0.011770075,0.008258633
888,0.011770075,0.008258633
889,0.011770075,0.008258633
890,0.011770075,0.008258633
891,0.011770075,0.008258633
892,0.011770075,0.008258633
893,0.011770075,0.008258633
894,0.011770075,0.008258633
895,0.011770075,0.008258633
896,0.011770075,0.008258633
897,0.011770075,0.008258633
898,0.011770075,0.008258633
